Months,PROPANE-ARA_large_cargo_cif_average_month_1-London_close,PROPANE-FEI_(Far_East_Index),PROPANE-Mont_Belvieu,PROPANE-Saudi_Aramco_CP_month_1,PROPANE-Sonatrach_Algeria_Bethioua_month_1,NORMAL_BUTANEARA_large_cargo_cif_average_month_1_London_close,NORMAL_BUTANEFar_East_Index_(AFEI)_Prmpt,NORMAL_BUTANEMont_Belvieu_Non-LST_(Non-LDH)_$/t_month_1_Houston_close,NORMAL_BUTANESaudi_Aramco_CP_month_1,NORMAL_BUTANESonatrach_Algeria_Bethioua_month_1,US_C5+SellerMont_Belvieu_Non-Targa_(Non-Dynegy)_month_1-Houston_close,Naphtha_BuyerJapan_c+f_half-month_1_Singapore_close,Naphtha_BuyerNWE_65_para_cif_Prmpt_London_close,,,,,,,,,,,,,,
4/1/2013,1.413414313,1.489268889,0.940795455,1.516314779,1.391554702,1.687306002,1.817780454,1.313977273,1.843267108,1.78807947,2.061079545,2.290524291,2.158226253,,,,,,,,,,,,,,
5/1/2013,1.305971849,1.525774609,0.934403409,1.41074856,1.190019194,1.60766078,1.835225481,1.245909091,1.710816777,1.578366446,2.047017045,2.286375661,2.201688083,,,,,,,,,,,,,,
6/1/2013,1.433715835,1.643138196,0.86278125,1.429942418,1.266794626,1.660812693,1.896302428,1.16659375,1.699779249,1.600441501,2.01575,2.29646164,2.232175926,,,,,,,,,,,,,,
7/1/2013,1.543770508,1.669949095,0.9196875,1.525911708,1.429942418,1.772651406,1.923505135,1.270823864,1.74392936,1.699779249,2.093494318,2.375517598,2.320450886,,,,,,,,,,,,,,
8/1/2013,1.549716296,1.71084453,1.062414773,1.573896353,1.545105566,1.862461684,2.000662252,1.366335227,1.810154525,1.78807947,2.189147727,2.45625,2.417485513,,,,,,,,,,,,,,
9/1/2013,1.557091034,1.700530116,1.1091875,1.631477927,1.612284069,2.003834647,1.999894881,1.35640625,1.931567329,1.924944812,2.17228125,2.500251953,2.460254472,,,,,,,,,,,,,,
10/1/2013,1.509921222,1.71353167,1.134130435,1.573896353,1.439539347,1.88902889,2.033865141,1.480298913,1.876379691,1.876379691,2.095125,2.440265753,2.385351967,,,,,,,,,,,,,,
11/1/2013,1.713548213,1.997715017,1.182138158,1.679462572,1.535508637,2.002514139,2.498686009,1.428125,2.01986755,1.953642384,2.080888158,2.516313933,2.458553792,,,,,,,,,,,,,,
12/1/2013,1.880748944,2.025866009,1.274583333,2.111324376,1.97696737,2.22737947,2.457899716,1.374404762,2.70419426,2.472406181,2.13585119,2.611929957,2.52962963,,,,,,,,,,,,,,
1/1/2014,1.660971558,1.839548487,1.398452381,1.938579655,1.746641075,2.078054084,2.09902239,1.493541667,2.251655629,2.218543046,2.087529762,2.530801209,2.431848244,,,,,,,,,,,,,,
2/1/2014,1.538899712,1.713963532,1.444934211,1.861804223,1.545105566,1.869708168,1.997075055,1.415855263,2.141280353,1.920529801,2.103730263,2.481679894,2.419940476,,,,,,,,,,,,,,
3/1/2014,1.486778539,1.652865369,1.061220238,1.641074856,1.420345489,1.832412698,2,1.257291667,1.920529801,1.810154525,2.171684524,2.476851852,2.412194507,,,,,,,,,,,,,,
4/1/2014,1.492339539,1.718215885,1.099166667,1.477927063,1.449136276,1.786199117,2.018080521,1.269761905,1.865342163,1.777041943,2.248892857,2.520250693,2.448677249,,,,,,,,,,,,,,
5/1/2014,1.423836564,1.718522073,1.041488095,1.554702495,1.381957774,1.610367329,1.983443709,1.227202381,1.821192053,1.611479029,2.183482143,2.551917989,2.481084656,,,,,,,,,,,,,,
6/1/2014,1.480596563,1.749337355,1.045178571,1.60268714,1.449136276,1.684731315,2.025176075,1.262440476,1.843267108,1.611479029,2.203065476,2.571712018,2.519715294,,,,,,,,,,,,,,
7/1/2014,1.478598097,1.716236259,1.033465909,1.573896353,1.439539347,1.782843843,2.004264499,1.256448864,1.854304636,1.78807947,2.178386364,2.57272126,2.475299057,,,,,,,,,,,,,,
8/1/2014,1.310100672,1.584224477,1.015833333,1.497120921,1.353166987,1.667010596,1.926311363,1.231279762,1.766004415,1.699779249,2.093583333,2.401203074,2.287301587,,,,,,,,,,,,,,
9/1/2014,1.337385884,1.594398883,1.060595238,1.429942418,1.257197697,1.638197672,1.913204897,1.263482143,1.732891832,1.611479029,2.048345238,2.299001924,2.225378788,,,,,,,,,,,,,,
10/1/2014,1.227895852,1.423361667,0.935326087,1.41074856,1.295585413,1.38308043,1.627667403,1.138342391,1.688741722,1.578366446,1.762907609,1.952790375,1.883540373,,,,,,,,,,,,,,
11/1/2014,1.020874856,1.241458733,0.8040625,1.170825336,1.046065259,1.198768543,1.444260486,1.063784722,1.324503311,1.181015453,1.546215278,1.763988095,1.666468254,,,,,,,,,,,,,,
12/1/2014,0.779454803,0.920956203,0.54625,1.055662188,0.84452975,1.039012825,1.160846879,0.743181818,1.258278146,1.136865342,1.155994318,1.387656325,1.300327538,,,,,,,,,,,,,,
1/1/2015,0.587049721,0.88643634,0.47715625,0.815738964,0.652591171,0.686188269,1.107326816,0.69015625,1.037527594,0.838852097,0.93646875,1.128873772,1.051902242,,,,,,,,,,,,,,
2/1/2015,0.752317562,1.100714438,0.572401316,0.863723608,0.623800384,0.927508278,1.192482217,0.701414474,1.059602649,0.750551876,1.164296053,1.411338918,1.32718254,,,,,,,,,,,,,,
3/1/2015,0.846832054,1.034854301,0.544517045,0.959692898,0.777351248,1.011459563,1.186484046,0.656193182,1.015452539,1.037527594,1.186613636,1.418951419,1.332040645,,,,,,,,,,,,,,
4/1/2015,0.783520921,1.020473448,0.545803571,0.882917466,0.719769674,0.897531457,1.195837275,0.656875,1.037527594,0.960264901,1.26635119,1.471844293,1.39077381,,,,,,,,,,,,,,
5/1/2015,0.720214365,0.972648752,0.45565625,0.892514395,0.700575816,0.93076554,1.19415011,0.59209375,1.048565121,0.927152318,1.2811875,1.535119048,1.45847257,,,,,,,,,,,,,,
6/1/2015,0.686240359,0.945388904,0.364971591,0.777351248,0.595009597,0.871213827,1.162251656,0.524857955,0.971302428,0.794701987,1.227414773,1.506361804,1.425414863,,,,,,,,,,,,,,
7/1/2015,0.661868898,0.876941197,0.387272727,0.75815739,0.604606526,0.761859008,1.078215934,0.543863636,0.938189845,0.772626932,1.073721591,1.327140452,1.249568668,,,,,,,,,,,,,,
8/1/2015,0.569085701,0.753763006,0.374404762,0.700575816,0.56621881,0.632401987,0.931160683,0.512202381,0.883002208,0.662251656,0.91875,1.156223893,1.066765873,,,,,,,,,,,,,,
9/1/2015,0.604240185,0.803934741,0.452708333,0.604606526,0.508637236,0.735835842,0.924392936,0.586815476,0.761589404,0.629139073,0.954047619,1.174636243,1.090277778,,,,,,,,,,,,,,
10/1/2015,0.677373582,0.848935613,0.445482955,0.690978887,0.595009597,0.891111178,1.024834437,0.611960227,0.805739514,0.82781457,0.9971875,1.214796777,1.139159452,,,,,,,,,,,,,,
11/1/2015,0.703455534,0.939347409,0.422467105,0.75815739,0.604606526,0.810595396,1.114238411,0.623190789,0.960264901,0.838852097,0.9925,1.210449735,1.108749055,,,,,,,,,,,,,,
12/1/2015,0.647888401,0.78210609,0.380710227,0.882917466,0.681381958,0.740518028,1.002659041,0.566448864,1.048565121,0.849889625,0.920994318,1.132425445,1.024092971,,,,,,,,,,,,,,
